IDtag,checkout_count,status
2009,1,Checked Out
2012,1,Checked Out
2102,1,Checked Out
2106,1,Checked Out
2400,,On Display
2402,,On Display
2404,1,On Display
2405,1,On Display
2500,1,On Display
1027,,On Display
1034,,On Display
2103,1,
